,year,snow,prcp_cm,max_celsius,min_celsius,lat,long,index,stn,mo,da,sndp_cm
0,1987.0,471216.482,43.5356,35.0,-35.388888888888886,49.63000471867696,-96.80410398746936,,,,,
1,1988.0,719233.258,295.6306,38.72222222222222,-33.0,49.63000471867696,-96.80410398746936,,,,,
2,1989.0,782172.172,4870.7802,5537.722222222223,-35.72222222222222,49.63000471867696,-96.80410398746936,,,,,
3,1990.0,597949.02,550.7482,5537.722222222223,-37.0,49.63000471867696,-96.80410398746936,,,,,
4,1991.0,620909.604,60.705999999999996,5537.722222222223,-37.27777777777778,49.63000471867696,-96.80410398746936,,,,,
5,1992.0,562702.456,56.2356,5537.722222222223,-31.27777777777778,49.63000471867696,-96.80410398746936,,,,,
6,1993.0,564738.52,63.7794,31.0,-35.27777777777778,49.63000471867696,-96.80410398746936,,,,,
7,1994.0,641266.6880000001,66.7766,31.11111111111111,-35.27777777777778,49.63000471867696,-96.80410398746936,,,,,
8,1995.0,667724.09,300.30420000000004,37.77777777777778,-34.611111111111114,49.63000471867696,-96.80410398746936,,,,,
9,1996.0,573558.162,312.34380000000004,35.388888888888886,-41.77777777777778,49.63000471867696,-96.80410398746936,,,,,
10,1997.0,579781.416,56.007,33.22222222222222,-37.0,49.63000471867696,-96.80410398746936,,,,,
11,1998.0,927007.29,68.453,32.388888888888886,-31.0,49.63000471867696,-96.80410398746936,,,,,
12,1999.0,914328.626,9187.2054,32.5,-37.0,49.63000471867696,-96.80410398746936,,,,,
13,2000.0,876292.38,43.3324,32.888888888888886,-34.888888888888886,49.63000471867696,-96.80410398746936,,,,,
14,2001.0,998120.1780000001,302.7934,33.111111111111114,-36.388888888888886,49.63000471867696,-96.80410398746936,,,,,
15,2002.0,2415298.446,73.914,34.388888888888886,-36.388888888888886,49.63000471867696,-96.80410398746936,,,,,
16,2003.0,2839488.8600000003,100.203,36.27777777777778,-37.77777777777778,49.63000471867696,-96.80410398746936,,,,,
17,2004.0,3000739.998,138.684,31.38888888888889,-41.388888888888886,49.63000471867696,-96.80410398746936,,,,,
18,2005.0,3168799.8600000003,150.4442,5537.722222222223,-38.0,49.63000471867696,-96.80410398746936,,,,,
19,2006.0,3159315.754,578.8914,35.888888888888886,-34.0,49.63000471867696,-96.80410398746936,,,,,
20,2007.0,3202346.4020000002,391.0838,5537.722222222223,-42.22222222222222,49.63000471867696,-96.80410398746936,,,,,
21,2008.0,3265767.154,415.72180000000003,5537.722222222223,-35.0,49.63000471867696,-96.80410398746936,,,,,
22,2009.0,3163964.4620000003,168.5036,32.72222222222222,-37.77777777777778,49.63000471867696,-96.80410398746936,,,,,
23,2010.0,3244063.87,202.184,35.0,-34.388888888888886,49.63000471867696,-96.80410398746936,,,,,
24,2011.0,3429384.302,122.555,37.22222222222222,-35.388888888888886,49.63000471867696,-96.80410398746936,,,,,
25,2012.0,3403624.6380000003,123.16460000000001,35.388888888888886,-30.0,49.63000471867696,-96.80410398746936,,,,,
26,2013.0,2871450.95,387.75640000000004,34.111111111111114,-35.111111111111114,49.63000471867696,-96.80410398746936,,,,,
27,2014.0,2414917.7,49109.0712,5537.722222222223,-38.0,49.63000471867696,-96.80410398746936,,,,,
28,2015.0,2522269.5300000003,47205.2142,34.27777777777778,-34.27777777777778,49.63000471867696,-96.80410398746936,,,,,
29,2016.0,2616657.2,52050.315,35.22222222222222,-32.5,49.63000471867696,-96.80410398746936,,,,,
30,2017.0,2619013.812,47452.3816,35.0,-33.0,49.63000471867696,-96.80410398746936,,,,,
31,2018.0,2527451.6380000003,44028.8426,37.5,-35.888888888888886,49.63000471867696,-96.80410398746936,,,,,
32,2019.0,2338143.1520000002,54970.883200000004,36.61111111111112,-40.0,49.63000471867696,-96.80410398746936,,,,,
33,2020.0,2404039.3880000003,51880.236600000004,5537.722222222223,-34.0,49.63000471867696,-96.80410398746936,,,,,
34,2021.0,2580743.1240000003,42985.1566,5537.722222222223,-38.27777777777778,49.63000471867696,-96.80410398746936,,,,,
35,2022.0,2384460.306,52737.5628,37.388888888888886,-35.27777777777778,49.63000471867696,-96.80410398746936,,,,,
36,2023.0,2346161.932,46808.3392,36.77777777777778,-33.388888888888886,49.63000471867696,-96.80410398746936,,,,,
37,2024.0,1181488.3660000002,27456.7904,25.0,-30.0,49.63000471867696,-96.80410398746936,,,,,
38,1987.0,3946322.054,100135.84240000001,39.388888888888886,-30.61111111111111,45.38656993999983,-73.30004660353592,,,,,
39,1988.0,5283465.430000001,142817.59600000002,42.77777777777778,-28.72222222222222,45.38656993999983,-73.30004660353592,,,,,
40,1989.0,3901732.862,143340.5566,37.22222222222222,-28.0,45.38656993999983,-73.30004660353592,,,,,
41,1990.0,3419260.37,166213.6884,34.388888888888886,-29.0,45.38656993999983,-73.30004660353592,,,,,
42,1991.0,3150365.048,129897.40340000001,5537.722222222223,-26.5,45.38656993999983,-73.30004660353592,,,,,
43,1992.0,4951161.802,125304.6516,5537.722222222223,-34.0,45.38656993999983,-73.30004660353592,,,,,
44,1993.0,5464451.606000001,91534.9198,5537.722222222223,-40.0,45.38656993999983,-73.30004660353592,,,,,
45,1994.0,6706423.722,106340.656,35.0,-41.0,45.38656993999983,-73.30004660353592,,,,,
46,1995.0,8604666.56,68817.617,5537.722222222223,-35.22222222222222,45.38656993999983,-73.30004660353592,,,,,
47,1996.0,7551380.376,51152.8314,5537.722222222223,-35.5,45.38656993999983,-73.30004660353592,,,,,
48,1997.0,7852969.816000001,39415.8216,5537.722222222223,-34.72222222222222,45.38656993999983,-73.30004660353592,,,,,
